anio,mes,dia,estacion,valor
2019, 7, 15, 12, 66.3
2019, 7, 15, 13, 15.5
2019, 7, 15, 14, 20.9
2019, 7, 15, 15, 35.8
2019, 7, 15, 16, 30.4
2019, 7, 15, 17, 40.0
2019, 7, 22, 2, 122.6
2019, 7, 22, 3, 20.5
2019, 7, 22, 4, 35.3
2019, 7, 22, 5, 90.3
2019, 7, 22, 6, 75.5
2019, 7, 22, 7, 28.7
2019, 7, 22, 8, 77.9
2019, 7, 22, 9, 100.6
2019, 7, 22, 10, 67.1
2019, 7, 22, 11, 18.9
2019, 7, 22, 12, 56.7
2019, 7, 22, 13, 53.3
2019, 7, 22, 14, 22.7
2019, 7, 22, 15, 73.1
2019, 7, 22, 16, 24.5
2019, 7, 22, 17, 40.9
2019, 7, 29, 2, 36.1
2019, 7, 29, 3, 11.2
2019, 7, 29, 4, 58.2
2019, 7, 29, 5, 34.7
2019, 7, 29, 6, 25.1
2019, 7, 29, 7, 9.5
2019, 7, 29, 8, 46.9
2019, 7, 29, 9, 25.1
2019, 7, 29, 10, 27.9
2019, 7, 29, 11, 10.7
2019, 7, 29, 12, 44.2
2019, 7, 29, 13, 60.7
2019, 7, 29, 14, 80.6
2019, 7, 29, 15, 68.2
2019, 7, 29, 16, 29.9
2019, 7, 29, 17, 25.6
2019, 8, 5, 2, 57.4
2019, 8, 5, 3, 62.0
2019, 8, 5, 4, 72.9
2019, 8, 5, 5, 33.2
2019, 8, 5, 6, 42.9
2019, 8, 5, 7, 16.7
2019, 8, 5, 8, 78.3
2019, 8, 5, 9, 52.6
2019, 8, 5, 10, 66.0
2019, 8, 5, 11, 0.2
2019, 8, 5, 12, 68.4
2019, 8, 5, 13, 67.8
2019, 8, 5, 14, 5.5
2019, 8, 5, 15, 59.7
2019, 8, 5, 16, 10.1
2019, 8, 5, 17, 66.8
2019, 8, 12, 2, 22.4
2019, 8, 12, 3, 0.2
2019, 8, 12, 4, 38.5
2019, 8, 12, 6, 3.5
2019, 8, 12, 7, 1.8
2019, 8, 12, 8, 55.3
2019, 8, 12, 9, 8.0
2019, 8, 12, 10, 2.5
2019, 8, 12, 11, 1.4
2019, 8, 12, 12, 65.2
2019, 8, 12, 13, 14.9
2019, 8, 12, 14, 0.8
2019, 8, 12, 15, 95.3
2019, 8, 12, 16, 1.4
2019, 8, 12, 17, 0.3
2019, 8, 19, 2, 15.0
2019, 8, 19, 3, 14.1
2019, 8, 19, 4, 33.5
2019, 8, 19, 5, 11.8
2019, 8, 19, 6, 37.5
2019, 8, 19, 7, 3.0
2019, 8, 19, 8, 66.5
2019, 8, 19, 9, 21.1
2019, 8, 19, 10, 21.3
2019, 8, 19, 11, 0.8
2019, 8, 19, 12, 41.1
2019, 8, 19, 13, 30.2
2019, 8, 19, 14, 27.9
2019, 8, 19, 15, 65.5
2019, 8, 19, 16, 18.3
2019, 8, 19, 17, 9.6
2019, 8, 26, 2, 3.1
2019, 8, 26, 3, 0.2
2019, 8, 26, 4, 21.8
2019, 8, 26, 6, 9.9
2019, 8, 26, 8, 21.9
2019, 8, 26, 9, 3.3
2019, 8, 26, 10, 2.0
2019, 8, 26, 11, 8.3
2019, 8, 26, 12, 28.8
2019, 8, 26, 13, 6.4
2019, 8, 26, 15, 5.3
2019, 8, 26, 16, 1.4
2019, 8, 26, 17, 6.1
2019, 9, 2, 2, 21.6
2019, 9, 2, 3, 9.2
2019, 9, 2, 4, 7.6
2019, 9, 2, 5, 30.7
2019, 9, 2, 6, 13.9
2019, 9, 2, 7, 8.9
2019, 9, 2, 8, 9.4
2019, 9, 2, 9, 16.5
2019, 9, 2, 10, 26.7
2019, 9, 2, 11, 2.6
2019, 9, 2, 12, 12.9
2019, 9, 2, 13, 14.1
2019, 9, 2, 14, 15.8
2019, 9, 2, 15, 6.4
2019, 9, 2, 16, 9.2
2019, 9, 2, 17, 22.9
2019, 9, 9, 2, 99.8
2019, 9, 9, 3, 28.2
2019, 9, 9, 4, 23.1
2019, 9, 9, 5, 125.9
2019, 9, 9, 6, 40.9
2019, 9, 9, 7, 26.7
2019, 9, 9, 8, 61.1
2019, 9, 9, 9, 62.2
2019, 9, 9, 10, 9.9
2019, 9, 9, 11, 13.6
2019, 9, 9, 12, 21.4
2019, 9, 9, 13, 38.4
2019, 9, 9, 14, 24.8
2019, 9, 9, 15, 30.8
2019, 9, 9, 16, 22.4
2019, 9, 9, 17, 27.9
2019, 9, 16, 2, 30.0
2019, 9, 16, 3, 58.6
2019, 9, 16, 4, 56.4
2019, 9, 16, 5, 70.9
2019, 9, 16, 6, 10.9
2019, 9, 16, 7, 16.3
2019, 9, 16, 8, 53.3
2019, 9, 16, 9, 28.2
2019, 9, 16, 10, 21.6
2019, 9, 16, 11, 8.7
2019, 9, 16, 12, 64.8
2019, 9, 16, 13, 52.5
2019, 9, 16, 14, 9.8
2019, 9, 16, 15, 74.0
2019, 9, 16, 16, 16.4
2019, 9, 16, 17, 42.2
2019, 9, 23, 2, 32.5
2019, 9, 23, 3, 36.1
2019, 9, 23, 4, 16.5
2019, 9, 23, 5, 33.8
2019, 9, 23, 6, 7.6
2019, 9, 23, 7, 46.0
2019, 9, 23, 8, 45.8
2019, 9, 23, 9, 34.3
2019, 9, 23, 10, 27.4
2019, 9, 23, 11, 34.3
2019, 9, 23, 12, 10.3
2019, 9, 23, 13, 48.7
2019, 9, 23, 14, 47.9
2019, 9, 23, 15, 21.7
2019, 9, 23, 16, 26.1
2019, 9, 23, 17, 20.3
2019, 9, 30, 2, 23.9
2019, 9, 30, 3, 3.3
2019, 9, 30, 4, 52.5
2019, 9, 30, 5, 3.0
2019, 9, 30, 6, 2.6
2019, 9, 30, 7, 2.8
2019, 9, 30, 8, 73.3
2019, 9, 30, 9, 15.5
2019, 9, 30, 12, 51.3
2019, 9, 30, 13, 91.5
2019, 9, 30, 14, 12.6
2019, 9, 30, 15, 43.0
2019, 9, 30, 16, 1.5
2019, 9, 30, 17, 0.2
2019, 10, 7, 3, 12.6
2019, 10, 7, 4, 2.5
2019, 10, 7, 5, 18.7
2019, 10, 7, 6, 3.0
2019, 10, 7, 7, 11.1
2019, 10, 7, 8, 15.6
2019, 10, 7, 9, 10.7
2019, 10, 7, 10, 7.1
2019, 10, 7, 11, 8.9
2019, 10, 7, 12, 7.0
2019, 10, 7, 14, 39.9
2019, 10, 7, 15, 6.9
2019, 10, 7, 16, 15.1
2019, 10, 14, 2, 36.2
2019, 10, 14, 3, 15.7
2019, 10, 14, 4, 23.0
2019, 10, 14, 5, 11.8
2019, 10, 14, 7, 12.2
2019, 10, 14, 8, 74.0
2019, 10, 14, 9, 20.0
2019, 10, 14, 10, 36.4
2019, 10, 14, 11, 20.3
2019, 10, 14, 12, 37.6
2019, 10, 14, 13, 49.4
2019, 10, 14, 14, 8.0
2019, 10, 14, 15, 42.8
2019, 10, 14, 16, 2.0
2019, 10, 14, 17, 18.7
2019, 10, 21, 2, 56.1
2019, 10, 21, 3, 38.5
2019, 10, 21, 4, 63.8
2019, 10, 21, 5, 55.6
2019, 10, 21, 6, 31.4
2019, 10, 21, 7, 30.2
2019, 10, 21, 8, 52.8
2019, 10, 21, 9, 57.7
2019, 10, 21, 10, 15.7
2019, 10, 21, 11, 13.1
2019, 10, 21, 12, 57.5
2019, 10, 21, 13, 65.1
2019, 10, 21, 14, 15.8
2019, 10, 21, 15, 67.3
2019, 10, 21, 16, 15.4
2019, 10, 21, 17, 57.1
2019, 10, 28, 2, 12.2
2019, 10, 28, 4, 22.1
2019, 10, 28, 5, 26.4
2019, 10, 28, 6, 28.0
2019, 10, 28, 7, 35.6
2019, 10, 28, 8, 35.3
2019, 10, 28, 9, 25.9
2019, 10, 28, 10, 21.8
2019, 10, 28, 11, 5.7
2019, 10, 28, 12, 19.1
2019, 10, 28, 13, 41.8
2019, 10, 28, 14, 11.1
2019, 10, 28, 15, 36.2
2019, 10, 28, 16, 2.9
2019, 10, 28, 17, 34.1
2019, 11, 4, 2, 9.9
2019, 11, 4, 4, 2.0
2019, 11, 4, 6, 0.6
2019, 11, 4, 7, 0.2
2019, 11, 4, 8, 9.2
2019, 11, 4, 9, 15.5
2019, 11, 4, 11, 11.7
2019, 11, 4, 12, 5.8

