anio,mes,dia,estacion,valor
2017, 5, 8, 3, 5.53
2017, 5, 8, 4, 14.12
2017, 5, 8, 5, 4.91
2017, 5, 8, 7, 22.87
2017, 5, 8, 10, 5.22
2017, 5, 8, 11, 3.68
2017, 5, 8, 12, 11.97
2017, 5, 8, 13, 1.69
2017, 5, 8, 14, 1.54
2017, 5, 8, 15, 19.34
2017, 5, 8, 17, 7.37
2017, 5, 15, 2, 0.69
2017, 5, 15, 3, 2.46
2017, 5, 15, 4, 25.48
2017, 5, 15, 5, 6.45
2017, 5, 15, 6, 15.66
2017, 5, 15, 7, 1.54
2017, 5, 15, 8, 22.41
2017, 5, 15, 9, 28.25
2017, 5, 15, 10, 0.49
2017, 5, 15, 11, 5.5
2017, 5, 15, 12, 37.76
2017, 5, 15, 13, 19.34
2017, 5, 15, 14, 2.61
2017, 5, 15, 15, 19.03
2017, 5, 15, 16, 1.69
2017, 5, 15, 17, 0.46
2017, 5, 22, 2, 5.68
2017, 5, 22, 3, 19.19
2017, 5, 22, 4, 76.45
2017, 5, 22, 5, 30.39
2017, 5, 22, 6, 4.14
2017, 5, 22, 7, 15.66
2017, 5, 22, 8, 80.59
2017, 5, 22, 9, 6.75
2017, 5, 22, 10, 0.84
2017, 5, 22, 11, 34.85
2017, 5, 22, 12, 88.42
2017, 5, 22, 13, 81.97
2017, 5, 22, 14, 42.06
2017, 5, 22, 15, 103.46
2017, 5, 22, 16, 18.73
2017, 5, 22, 17, 22.87
2017, 5, 29, 2, 56.03
2017, 5, 29, 3, 3.07
2017, 5, 29, 4, 10.13
2017, 5, 29, 5, 2.0
2017, 5, 29, 6, 39.76
2017, 5, 29, 7, 2.3
2017, 5, 29, 8, 14.12
2017, 5, 29, 9, 42.52
2017, 5, 29, 10, 1.38
2017, 5, 29, 11, 0.49
2017, 5, 29, 12, 27.94
2017, 5, 29, 13, 83.2
2017, 5, 29, 14, 18.57
2017, 5, 29, 15, 35.61
2017, 5, 29, 16, 10.44
2017, 5, 29, 17, 5.53
2017, 6, 5, 2, 71.23
2017, 6, 5, 3, 52.5
2017, 6, 5, 4, 34.69
2017, 6, 5, 5, 41.29
2017, 6, 5, 6, 46.97
2017, 6, 5, 7, 42.06
2017, 6, 5, 8, 15.04
2017, 6, 5, 9, 77.37
2017, 6, 5, 10, 25.17
2017, 6, 5, 11, 20.88
2017, 6, 5, 12, 42.52
2017, 6, 5, 13, 35.92
2017, 6, 5, 14, 25.79
2017, 6, 5, 15, 26.71
2017, 6, 5, 16, 57.87
2017, 6, 5, 17, 29.47
2017, 6, 12, 3, 35.92
2017, 6, 12, 5, 23.33
2017, 6, 12, 7, 12.59
2017, 6, 12, 9, 0.3
2017, 6, 12, 10, 8.6
2017, 6, 12, 11, 15.35
2017, 6, 12, 13, 15.35
2017, 6, 12, 14, 3.53
2017, 6, 12, 15, 3.68
2017, 6, 12, 16, 3.2
2017, 6, 12, 17, 40.68
2017, 6, 19, 2, 66.31
2017, 6, 19, 3, 0.49
2017, 6, 19, 5, 20.3
2017, 6, 19, 6, 27.32
2017, 6, 19, 7, 0.87
2017, 6, 19, 8, 42.98
2017, 6, 19, 9, 109.3
2017, 6, 19, 10, 1.11
2017, 6, 19, 11, 1.0
2017, 6, 19, 12, 50.66
2017, 6, 19, 13, 21.18
2017, 6, 19, 14, 8.9
2017, 6, 19, 15, 48.51
2017, 6, 19, 16, 7.21
2017, 6, 19, 17, 3.68
2017, 6, 26, 2, 45.44
2017, 6, 26, 3, 142.45
2017, 6, 26, 4, 51.27
2017, 6, 26, 5, 58.03
2017, 6, 26, 6, 58.64
2017, 6, 26, 7, 52.19
2017, 6, 26, 8, 64.78
2017, 6, 26, 9, 42.67
2017, 6, 26, 10, 70.0
2017, 6, 26, 11, 22.72
2017, 6, 26, 12, 50.96
2017, 6, 26, 13, 35.92
2017, 6, 26, 14, 32.54
2017, 6, 26, 15, 56.8
2017, 6, 26, 16, 28.86
2017, 6, 26, 17, 76.14
2017, 7, 3, 2, 77.52
2017, 7, 3, 3, 77.98
2017, 7, 3, 4, 74.3
2017, 7, 3, 5, 73.38
2017, 7, 3, 6, 52.5
2017, 7, 3, 7, 95.79
2017, 7, 3, 8, 91.64
2017, 7, 3, 9, 50.35
2017, 7, 3, 10, 81.97
2017, 7, 3, 11, 57.1
2017, 7, 3, 12, 120.04
2017, 7, 3, 13, 139.08
2017, 7, 3, 14, 39.45
2017, 7, 3, 15, 143.99
2017, 7, 3, 16, 29.47
2017, 7, 3, 17, 51.58
2017, 7, 10, 2, 28.55
2017, 7, 10, 3, 93.33
2017, 7, 10, 4, 21.49
2017, 7, 10, 5, 12.89
2017, 7, 10, 6, 42.37
2017, 7, 10, 7, 24.87
2017, 7, 10, 8, 4.61
2017, 7, 10, 9, 13.05
2017, 7, 10, 10, 54.03
2017, 7, 10, 11, 60.17
2017, 7, 10, 12, 23.64
2017, 7, 10, 13, 22.1
2017, 7, 10, 14, 43.9
2017, 7, 10, 15, 6.14
2017, 7, 10, 16, 12.59
2017, 7, 10, 17, 84.12
2017, 7, 17, 2, 58.95
2017, 7, 17, 3, 9.52
2017, 7, 17, 4, 66.93
2017, 7, 17, 5, 16.89
2017, 7, 17, 6, 34.69
2017, 7, 17, 7, 26.1
2017, 7, 17, 8, 99.32
2017, 7, 17, 9, 31.32
2017, 7, 17, 10, 17.19
2017, 7, 17, 11, 26.4
2017, 7, 17, 12, 53.73
2017, 7, 17, 13, 65.24
2017, 7, 17, 14, 40.99
2017, 7, 17, 15, 44.82
2017, 7, 17, 16, 34.08
2017, 7, 17, 17, 8.6
2017, 7, 24, 2, 25.48
2017, 7, 24, 3, 14.74
2017, 7, 24, 4, 36.38
2017, 7, 24, 5, 4.91
2017, 7, 24, 6, 8.6
2017, 7, 24, 7, 37.46
2017, 7, 24, 8, 81.67
2017, 7, 24, 9, 10.75
2017, 7, 24, 10, 23.03
2017, 7, 24, 11, 3.84
2017, 7, 24, 12, 10.13
2017, 7, 24, 13, 7.21
2017, 7, 24, 14, 26.4
2017, 7, 24, 15, 7.06
2017, 7, 24, 17, 11.97
2017, 7, 31, 2, 28.25
2017, 7, 31, 3, 4.76
2017, 7, 31, 4, 29.47
2017, 7, 31, 5, 4.3
2017, 7, 31, 6, 13.51
2017, 7, 31, 7, 1.54
2017, 7, 31, 8, 73.99
2017, 7, 31, 9, 14.12
2017, 7, 31, 10, 5.37
2017, 7, 31, 11, 6.6
2017, 7, 31, 12, 24.25
2017, 7, 31, 13, 42.52
2017, 7, 31, 14, 13.66
2017, 7, 31, 15, 53.73
2017, 7, 31, 16, 3.68
2017, 7, 31, 17, 6.91
2017, 8, 7, 2, 64.78
2017, 8, 7, 3, 12.28
2017, 8, 7, 4, 29.47
2017, 8, 7, 5, 24.56
2017, 8, 7, 6, 16.27
2017, 8, 7, 7, 10.13
2017, 8, 7, 8, 34.39
2017, 8, 7, 9, 31.01
2017, 8, 7, 10, 12.89
2017, 8, 7, 11, 23.33
2017, 8, 7, 12, 47.13
2017, 8, 7, 13, 57.1
2017, 8, 7, 14, 42.52
2017, 8, 7, 15, 66.16
2017, 8, 7, 16, 5.83
2017, 8, 7, 17, 14.74
2017, 8, 14, 2, 69.38
2017, 8, 14, 3, 54.65
2017, 8, 14, 4, 56.8
2017, 8, 14, 5, 80.74
2017, 8, 14, 6, 25.48
2017, 8, 14, 7, 11.97
2017, 8, 14, 8, 147.06
2017, 8, 14, 9, 45.74
2017, 8, 14, 10, 31.01
2017, 8, 14, 11, 14.43
2017, 8, 14, 12, 47.28
2017, 8, 14, 13, 57.41
2017, 8, 14, 14, 21.8
2017, 8, 14, 15, 64.78
2017, 8, 14, 16, 30.7
2017, 8, 14, 17, 86.58
2017, 8, 21, 2, 114.21
2017, 8, 21, 3, 16.27
2017, 8, 21, 4, 70.46
