predictedValue,RealValue,ErrorPercent
'31.015390711871987','66.3','53.21962185238011'
'30.919763050499682','15.5','99.48234226128827'
'30.66062168002236','20.9','46.70153913886298'
'30.144682887938984','35.8','15.796975173354785'
'29.27727695594467','30.4','3.693167908076734'
'27.964188082568512','40.0','30.089529793578716'
'34.3918562114668','122.6','71.94791499880358'
'32.89910974212171','20.5','60.48346215669126'
'31.777041063928664','35.3','9.980053643261568'
'31.028033812276476','90.3','65.63894372948342'
'30.640906197095546','75.5','59.416018281992656'
'30.59107455900687','28.7','6.589109961696414'
'30.840980926770158','77.9','60.40952384240031'
'31.340777198210503','100.6','68.84614592623211'
'32.029252982002276','67.1','52.26638899850629'
'32.83498883712048','18.9','73.73009966730413'
'33.677711774417844','56.7','40.60368293753467'
'34.469825497858324','53.3','35.32865760251721'
'35.118084179559446','22.7','54.70521665004162'
'35.52537554711432','73.1','51.401675038147296'
'35.592576906732575','24.5','45.27582410911255'
'35.220446367426916','40.9','13.886439199445189'
'38.623567474353536','36.1','6.99049161870785'
'37.35647567122987','11.2','233.53996135026676'
'36.342865239297225','58.2','37.555214365468686'
'35.589667620654154','34.7','2.5638836330090817'
'35.0916423952965','25.1','39.80734022030479'
'34.83142254680024','9.5','266.646553124213'
'34.77980408453925','46.9','25.84263521420202'
'34.89627549351326','25.1','39.02898602993329'
'35.12977721025106','27.9','25.91317996505758'
'35.41967627689928','10.7','231.02501193363815'
'35.69693656623588','44.2','19.237700076389423'
'35.88546071767905','60.7','40.88062484731623'
'35.90357618057635','80.6','55.4546201233544'
'35.665634686529074','68.2','47.70434796696617'
'35.08369213576873','29.9','17.33676299588204'
'34.0692342900511','25.6','33.0829464455121'
'45.087930045026155','57.4','21.44959922469311'
'44.171687339775076','62.0','28.75534300036278'
'43.39771844037625','72.9','40.46952202966221'
'42.753252705947716','33.2','28.774857548035275'
'42.21514154379486','42.9','1.5964066578208425'
'41.750287781277166','16.7','150.00172324118063'
'41.316281279057534','78.3','47.23335724258297'
'40.862228391695794','52.6','22.315155148867312'
'40.329758641903254','66.0','38.89430508802537'
'39.65418805189506','0.2','19727.09402594753'
'38.76581518179273','68.4','43.32483160556619'
'37.59132306433696','67.8','44.5555707015679'
'36.05525799929717','5.5','555.5501454417666'
'34.08155464425738','59.7','42.911968770088144'
'31.59507599423057','10.1','212.82253459634228'
'28.523136788381294','66.8','57.30069343056693'
'42.75200455096751','22.4','90.85716317396212'
'40.7262735018636','0.2','20263.136750931797'
'38.99898683798733','38.5','1.2960697090580038'
'36.41479166639499','3.5','940.422619039857'
'35.514218219887084','1.8','1873.0121233270604'
'34.82562284573203','55.3','37.02419015238331'
'34.298347191585776','8.0','328.7293398948222'
'33.87179472990215','2.5','1254.871789196086'
'33.47663703734327','1.4','2291.1883598102336'
'33.03619371231878','65.2','49.330991238774885'
'32.46795744311703','14.9','117.90575465179217'
'31.68523272990342','0.8','3860.6540912379273'
'30.59885445442046','95.3','67.89207297542448'
'29.118950999856224','1.4','1979.9250714183022'
'27.156715945198357','0.3','8952.238648399452'
'34.2577392103957','15.0','128.38492806930466'
'32.54970282651732','14.1','130.84895621643489'
'31.22156586063511','33.5','6.8012959384026574'
'30.273607708360373','11.8','156.55599752847772'
'29.692439165732708','37.5','20.820162224712778'
'29.451223889503467','3.0','881.7074629834489'
'29.51016452229544','66.5','55.623812748427916'
'29.817244751948692','21.1','41.31395617037294'
'30.309213031471813','21.3','42.296774795642314'
'30.912788406119603','0.8','3764.0985507649502'
'31.546064134265748','41.1','23.245586048015213'
'32.12008050490351','30.2','6.357882466567926'
'32.54053470648262','27.9','16.632740883450246'
'32.7095927706647','65.5','50.06169042646611'
'32.52776660517168','18.3','77.74735849820588'
'31.89581801004954','9.6','232.24810427134935'
'35.771995639290026','3.1','1053.935343202904'
'34.527377457275634','0.2','17163.688728637815'
'33.60544468346359','21.8','54.15341597919077'
'32.73141336102526','9.9','230.62033698005314'
'33.02417401870866','21.9','50.79531515392085'
'33.513972443183775','3.3','915.5749225207204'
'34.159425679550395','2.0','1607.9712839775198'
'34.892836499246755','8.3','320.39562047285244'
'35.637826105371005','28.8','23.74245175476043'
'36.31079365721132','6.4','467.3561508939269'
'37.07988626314807','5.3','599.6204955310956'
'36.98766152804694','1.4','2541.9758234319247'
'36.45034067955919','6.1','497.54656851736377'
'28.853609481687272','21.6','33.5815253781818'
'29.366226404609847','9.2','219.1981130935853'
'29.969374631414553','7.6','294.33387672913886'
'30.640321317017765','30.7','0.1943931041766587'
'31.346969945635124','13.9','125.51776939305846'
'32.04839717163111','8.9','260.09435024304616'
'32.69557668105824','9.4','247.82528384104512'
'33.23227625278366','16.5','101.40773486535552'
'33.59611031150814','26.7','25.828128507521132'
'33.719726852584245','2.6','1196.91257125324'
'33.53210464880215','12.9','159.93879572714843'
'32.95993423451512','14.1','133.75839882634835'
'31.929054408109096','15.8','102.08262283613352'
'30.36591485667668','6.4','374.46741963557315'
'28.199035087689936','9.2','206.5112509531515'
'25.360430103575368','22.9','10.744236260154452'
'39.12792335758377','99.8','60.793663970356945'
'37.550957794944566','28.2','33.159424804767966'
'36.217653552020124','23.1','56.78637901307412'
'35.119600629072806','125.9','72.1051623279803'
'34.236614230437795','40.9','16.291896747095855'
'33.5371201442731','26.7','25.607191551584663'
'32.97877052197839','61.1','46.02492549594371'
'32.50927814565989','62.2','47.73427950858539'
'32.06745249757978','9.9','223.91366159171494'
'31.584416544934015','13.6','132.2383569480442'
'30.984979226227097','21.4','44.78962255246308'
'30.189135309380276','38.4','21.382460131822196'
'29.113661620424523','24.8','17.39379685655049'
'27.67377670647363','30.8','10.150075628332367'
'25.78482983575725','22.4','15.110847481059162'
'23.363984874221046','27.9','16.25811873039051'
'30.58820947439449','30.0','1.96069824798163'
'28.74189992679328','58.6','50.952389203424445'
'27.264446706265403','56.4','51.658782435699635'
'26.15356466682431','70.9','63.112038551728766'
'25.39351775308421','10.9','132.96805278058906'
'24.955400707956187','16.3','53.100617840222'
'24.797680627459727','53.3','53.47527086780539'
'24.866988336717668','28.2','11.819190295327415'
'25.0991441287174','21.6','16.199741336654615'
'25.42039731849775','8.7','192.1884749252615'
'25.748854452002433','64.8','60.26411349999624'
'25.996066975070335','52.5','50.48368195224698'
'26.068745813334544','9.8','166.0076103401484'
'25.870567728492347','74.0','65.03977333987521'
'25.304036554413187','16.4','54.29290581959262'
'24.272361510014434','42.2','42.48255566347291'
'27.59694046685263','32.5','15.086337025068833'
'26.229844882841007','36.1','27.341149909027685'
'25.238391642297756','16.5','52.959949347259126'
'24.623576244917217','33.8','27.149182707345503'
'24.37280518215914','7.6','220.69480502840975'
'24.46007730535848','46.0','46.8259189013946'
'24.84642967616378','45.8','45.75015354549393'
'25.480640230660697','34.3','25.712419152592712'
'26.30017399825863','27.4','4.0139635100049995'
'27.232354301582404','34.3','20.605381044949254'
'28.195735479741302','10.3','173.74500465768253'
'29.101649329289444','48.7','40.24301985772188'
'29.85589373510254','47.9','37.67036798517215'
'30.360529023167828','21.7','39.910271996165115'
'30.515745386344747','26.1','16.91856469863887'
